IRRADIATION_WM2,AMBIENT_TEMP_K,MAX_TEMP_K
3.7267676133774006,297.6792296280219,302.36202464919626
10.714067230674,297.12034553164074,305.1821789227812
26.399924912823657,297.06402275176475,300.35928637652466
55.23292845057562,297.3763359993982,300.4070587952074
97.3523405488754,297.4355557550409,298.39713685807214
141.76750012067237,297.56348352565334,304.64252277981757
152.83899959221563,298.2761416128026,309.66132782860427
149.43113477876884,297.93237928461485,303.692394611221
141.44754095689927,298.1479153122948,305.5366738375045
209.46464332803703,297.7211653566808,315.89551020610594
343.2578561177413,298.94280943542674,323.974842730462
403.4532173417941,299.9736150036767,326.770848060578
314.9886026875442,299.3603121941483,321.6317638760463
608.9766114475265,300.48542395793123,343.78262737249094
342.8303943803112,301.26972056676703,322.8953780888598
245.6982634097376,299.99353996783213,320.38902439114327
535.2120190139711,300.4467904159471,337.3999813599804
670.9766822003659,302.1242589646832,348.70209304457643
562.0871715621998,302.5319077405547,346.0141771865465
445.5990062666199,302.5880739697001,334.1686659355436
368.21699952521135,301.72705989452766,331.781383028622
633.5484486750802,302.2729613784055,348.706402156722
584.1844227936527,303.40947239079924,352.2375159889894
543.3258510408356,303.52128899634954,340.32996294259664
464.6805148248856,304.5183786280175,335.0901133565876
511.1342912326841,304.74624145576115,334.8467114618368
779.264223420636,304.6822319463665,359.14384973684
652.4223735029823,305.1974378240222,355.0025611966535
751.3835615228469,306.44541351279065,356.7294909674815
413.65111505850746,305.9609784399988,336.57038020287047
483.4549545857056,305.44637448592675,333.22855157088503
588.2894852028933,305.60761312292254,347.4124277062454
564.9164902886674,305.56476357799903,345.33748238891053
720.1274187175865,306.1916351422449,352.0256325554095
902.7504253083038,307.3747952973622,374.3540548304361
459.47008497498416,307.7657362649672,337.0736056246532
545.5108149293757,306.3568328393258,344.35370458074584
390.14829961218175,307.0575787787637,331.2990580510796
437.907048074577,306.9819285662587,335.00510040093144
565.5740203898196,307.70945075767094,349.9663316619146
346.91108269909023,307.5293009529826,339.27051600215754
362.1465938201141,307.1229836036747,334.90651444041515
328.50349985620346,306.9816688858151,334.84438447006187
349.41116896675936,307.25790984040475,340.2601291513026
255.54587238304185,307.41529546239616,324.29855403049754
163.24682723604923,306.9809777830791,318.7451163014402
168.3966013625879,306.35659563386616,319.876886006714
82.85827162101249,306.55034103003544,317.4796758752278
33.8089438490751,305.41004484818114,308.40035207571873
22.86940706940262,304.18400117246495,308.30821509435594
10.711759489529353,302.4101353521653,312.95829816340637
0.0,301.7314475835871,295.1451751314457
2.809099559227888,300.0023665621405,293.994087749609
0.0,296.9435597226547,296.0665638542442
0.5891977191143309,295.346196751694,300.821852778522
7.299700887749352,295.1118618917618,299.6849932833513
26.08650914427047,295.02283487063727,294.7874773454537
48.525680246799226,295.28425406428426,299.17812505004963
76.91153435024246,295.4900118182576,299.8861464697476
103.8590116708661,295.5842152544161,306.9423943724682
135.1633662439527,295.6597456828766,302.55537413227927
173.09669044713192,296.18176099104227,308.2939390937561
237.44685215368543,296.060810881053,309.80390712802546
293.38083342359766,296.97790340134884,312.36401357721047
342.18249808592185,296.8365320275057,322.55660321409636
433.8327408702809,297.81426246496903,330.4412815845328
467.7247851779784,298.35914424517495,335.45109286783236
452.7447541203002,299.4632055227359,332.7533444546337
422.736688265705,299.4511945447908,328.74107800793155
413.9675749345564,299.3653852930351,324.0400845697094
547.1712166908095,300.3283198130336,338.50486038192213
500.22770781954,301.05759634381,335.62935719518066
469.5836065145336,301.23354566684424,335.4479669621518
668.8491716719291,301.3763869614522,357.0368475818343
577.4992897041989,302.0017459855258,346.0261901854921
583.7971409690626,302.57544895994283,336.128624619043
543.8029183392337,302.3732262487012,341.11991356645996
489.823213924706,302.84796007697736,334.3402331665362
624.557279600453,302.9198420866181,348.92690104823555
642.7834785171407,302.75597524420425,353.3457972276679
539.3260849575145,303.8019704541933,343.824913609189
770.3066840930129,304.6531815594982,362.73367471048084
826.0215230697211,304.1088616136276,367.1993624475901
631.8229229847865,304.7528040704659,344.33419417683956
720.4845758631893,304.5604018660715,355.710206732025
578.7033247617474,304.8068363445231,343.7890755947536
508.1892231120223,304.96840368213697,337.6633621842322
437.8833523025372,304.41786830438235,333.64840667935465
589.1052758136965,305.13559407568243,339.6864128978353
541.5902269977923,304.85254910104754,345.2034295369416
512.9653727728261,305.3007386968161,341.834866850359
512.3883892256056,305.0151183033998,342.7484649145359
417.4814595966746,305.8027534359625,332.481361858326
346.6472864686968,305.7274912676855,324.80250441334096
283.6389075709416,305.18650953402874,324.5312678913897
220.10151494186252,305.26476609017703,316.58948257139895
195.30926169155455,305.0122808634249,320.990335843959
179.1488332256766,305.27916360976235,323.6638498013166
148.12535144899587,305.07583858053755,315.1721931108382
127.621512097523,304.3013009932589,309.6204349254225
106.45163836536037,304.9729942454278,305.2982621379378
80.05134609620445,304.333137161625,313.38236503893745
51.02448203543416,303.81788615863746,308.5868153016838
25.557712646891083,303.3303198082968,302.68530355342676
11.227369823184937,302.12737910543603,299.74662344842204
2.741206812747796,301.7480332066283,308.5195825925185
0.0,295.7808848830346,299.8137210578535
8.708044986647263,295.9110135059022,306.48863012526715
7.40069300379809,296.03693165027653,293.265099050885
37.24810298286333,295.83696296032906,297.23589307348743
69.72158549798418,295.8911404629584,296.6519061506426
97.20906749338148,296.4256622581618,302.7952912716714
195.3425315460884,296.6298377659157,309.9542508509237
225.1646573875857,296.57026552057744,312.9708439800312
321.07588076703604,297.25027550269687,328.73899519385054
379.14825612707983,298.4788623693507,328.03852589166985
385.7292172055627,299.27348824561653,327.6981798791182
415.058211941522,299.4913825132356,323.6899244686605
573.7036702851897,300.6441093282977,345.58751737453036
579.595614990693,300.8586165830405,341.75951059411835
445.2711770651736,301.6587128254108,330.53675724758506
615.0728361561926,302.3653465320986,343.66251711167155
782.9419027013832,301.8659591505892,358.73802043760145
743.7553951676528,303.3074479921398,347.73213269570317
727.4449049510956,303.20192905672627,358.22330238957244
700.2076824108618,303.1817688553248,356.7380352216819
843.1674089051872,304.3645746614454,357.56983019405305
806.789134174072,304.3273375205925,359.0247357933618
999.9377934263758,304.46036532388234,384.0128138346918
969.1236737691816,305.4600184684889,372.62824325965147
854.9939502375286,306.0393783738105,369.3806533212111
634.5523028896289,305.7007614290648,345.32217999778373
773.5567291305462,306.3240864244769,355.5799424191571
675.1156661434019,306.17488406991623,352.3487394433621
827.907201697528,306.9346192030455,371.4790983094257
429.0479911626464,306.67423564085504,340.1713866099349
447.1959571106381,306.05308385017406,339.3770096060132
739.7538357650956,306.8461994174302,354.31501049953783
630.0771758281879,306.81909922381203,351.79331478007435
686.6902451719459,307.3859349843323,351.7129368021661
437.1508501477071,307.5479335305721,336.06817318445763
321.7151696691859,307.2129495748864,339.2934190470987
646.2126289633826,307.53890962739735,350.04915779662286
687.2415314436713,308.0798466945444,354.05437094102393
510.83177893116687,308.4192806678016,342.98093953208536
599.9631235319584,307.93043977673483,355.7466988510045
286.12753552439904,307.97483856473275,324.93884452935134
445.8602919738165,308.2452238348076,336.947336407688
341.8958577759479,304.32699744817586,325.66143052879386
287.6385574971574,303.034358282883,324.98081323312226
255.2638296831807,302.52374995886635,319.3726092707316
138.00642366602875,302.14267815049857,315.47729714415436
116.50779712510852,301.4696253227837,311.8097344553325
99.97395692261262,300.4445215800243,309.40430933647275
68.63397218581088,299.9530164166096,305.4346222755216
25.33762610509478,299.2054109918629,298.6032206429379
12.102665626411955,299.9877386854707,301.6479887101459
0.0,299.1907735523674,297.50382792329003
0.0,294.6085113566347,291.31089639774274
6.298357804826472,294.4542760341424,302.4529149967492
26.17267166597459,294.2109159727892,293.2650106847299
53.96118378679997,294.19044309098064,297.583721705061
80.25362675357717,295.0477041865222,304.4008655344834
110.450485483357,295.4498022780313,301.3771553802292
191.4358936177834,295.1285588878369,311.490757497637
242.61647942706043,295.34899224413215,313.9001599391351
121.15420732850475,296.1624511802735,305.7991054957656
91.06645231327842,296.1008648864284,303.8594653577343
86.72556911362042,296.2919052960414,310.7830617128564
109.43301489830536,296.8421121099176,300.31365121603676
122.45551569556474,296.6808610857792,304.3308938591425
117.60780218205588,296.6421477323354,301.67182793135163
116.18089061626588,297.0895502358784,304.57038981320426
93.08691803846038,297.1120617035227,311.5543408805703
101.11478582474324,296.8108827541866,312.5963722136571
112.53687291614186,297.0663749562754,310.0329871592985
141.9513486984551,297.1441505649231,304.231715328469
220.4655573991709,297.284830939295,314.89667238493377
368.69306737738106,297.4871842260897,318.943116394135
449.8624010412316,298.4497758354676,325.8899234472203
489.7935939852535,298.4548042439045,336.16461801506995
351.1072284080278,298.30479629505066,324.7450298385804
409.8454083531356,298.2315992796904,326.37945082371067
566.492757753304,298.689574094959,338.3200659389856
600.4225010491307,299.65063628416834,342.4508534449394
599.1342989331414,299.8041757319994,342.34876252725
553.2302085978823,299.9545302732392,343.3115221124249
568.7388643874785,300.4864067164347,337.9430017706091
714.3731446376663,300.33048958862025,347.4137443689123
793.3113019173531,300.8815597881364,356.1891016643065
966.1878420531568,301.2504179620057,371.38952965155835
734.3669497542661,301.163998451279,358.92902834455157
344.8669497751194,300.83736008252777,332.8230845787569
441.3641602185118,300.83698471199057,327.8815420462441
443.3784186829418,300.0013471804547,332.6533442541532
547.6850444675881,300.5689132461076,338.67055525494374
547.9308633093266,300.36322905789035,339.14256071917976
524.2626337061293,300.1915633773633,339.75787259663775
500.638890618984,300.9998977913557,335.2373749732807
400.7282008376609,300.722759595162,330.77164441657527
310.0625494650996,300.2787044653651,321.64860134754707
261.7033311295547,300.3837422027468,317.0144667718508
200.4245452313181,299.6197441182241,317.4388929800531
151.0030568420844,299.57171291222454,312.6596197258921
109.991119119459,300.3493522757508,303.56834525288724
78.27028968597863,299.46506671802206,300.08628781538386
53.216638206992855,298.5585725281498,302.7459720954229
32.646647031153385,298.8212497820301,301.8060789681091
14.261695261847246,297.82538693176684,302.30242657158624
1.4146592070669306,297.7298914540594,306.62323067058895
0.0,295.9523445770212,302.159999090222
3.7880611210028254,296.5078239635998,299.48142649801514
13.209321751808316,296.90458888662914,282.1081711958115
14.529551358790808,296.27729813023205,294.16908692172393
37.75396048330206,296.11986708877726,298.7879216773974
175.54632409225513,297.5122900023558,312.91327274929125
186.3522869341288,298.12114015032626,312.77266419005844
188.06274955960788,297.3584758600756,312.73454897786587
232.5810438097967,298.3350163024339,323.3221614129512
134.71325259488393,298.39695160563457,305.09322348355704
202.32565991264207,298.10275740853365,314.55932341747337
288.79775458328874,298.34669329999923,315.9843370349828
276.988586333017,299.239525103634,320.55092405634923
376.4896673703405,299.32572115943714,328.850301537445
423.2455369307231,299.72232793722804,329.85509802036495
653.1155412256396,300.2864691941501,350.6165572724551
529.1040015186643,300.429427238665,333.73910678959
488.660223099636,300.0185079376178,333.15646461702363
588.9474983893206,300.79459159106455,343.22111935085724
517.378874343239,301.4726479138363,341.2020877820526
597.8352314140353,300.6989236739854,338.67056278179166
813.188327811796,300.89227559172,358.35301750208663
501.0419104771292,301.7596993699371,336.8910794514948
283.5753443055869,301.41802399953394,321.85456847057446
759.5860814084414,302.61922821179564,359.7467047223044
825.1077232907289,302.9963706605901,360.2932615301947
687.0094955891287,303.3351709351656,356.0558683669196
549.6340250401522,303.0113351594112,344.9034357756966
529.6899774413437,303.0530388007262,334.20084334417163
728.5563285685143,303.86617277277725,351.93154354045623
636.0241485601223,302.54925093344286,342.4097718645662
680.9922164227014,303.6299265391674,354.0584907563197
732.7714892810637,303.48057791030703,353.7089276689505
708.072867013443,303.9354602816563,354.1426775194113
519.438999837897,303.58830635337966,337.29439017759967
428.3577952294157,303.2033469379807,329.38554400853184
446.5790231754398,303.1630068827323,325.3697143726933
371.20702525200846,302.79375326864454,337.25741715275956
471.9945767990627,302.68670957336855,336.9796212889162
392.3159476423045,303.30425893467947,331.6454506099623
321.2437876167548,302.5547014653632,321.70961064411904
268.8218297499348,302.7167117774925,320.2942572834213
196.89340726091336,302.25622427492624,319.0655992774766
124.5677958575562,301.05016750466325,316.52351292144783
83.34944642361852,301.0886852648612,306.53401544228257
35.224209104820815,300.8994514585074,302.88055965864163
0.0,298.0741998008275,296.6708224599321
